amfi_code,Sortino_Ratio,Sortino_Rank
148567,2.3856,1.0
120843,2.3643,2.0
148569,2.1469,3.0
119551,2.1403,4.0
120505,2.0294,5.0
149323,1.8751,6.0
118632,1.8501,7.0
100033,1.8291,8.0
120504,1.8053,9.0
101206,1.7996,10.0
119094,1.7038,11.0
119598,1.6753,12.0
148568,1.6327,13.0
149324,1.6198,14.0
119552,1.6098,15.0
102885,1.4357,16.0
120503,1.3379,17.0
125497,1.3307,18.0
118633,1.1545,19.0
118635,1.138,20.0
120506,1.0959,21.0
102887,1.0888,22.0
120507,1.0521,23.0
120841,0.8626,24.0
149322,0.7621,25.0
118634,0.746,26.0
125498,0.5088,27.0
101207,0.2766,28.0
119093,0.2211,29.0
120842,0.1247,30.0
119092,0.0526,31.0
119599,-0.0944,32.0
119095,-0.1282,33.0
120844,-0.1877,34.0
102886,-0.3472,35.0
100016,-0.351,36.0
119120,-0.3768,37.0
118636,-0.6135,38.0
100025,-0.9418,39.0
101208,-1.681,40.0
